product_name,price,total_ratings,avg_rating,rating,review_title,review_text,reviewer,review_date,product_link
Portable Insulated Thermal Lunch Bag,2999,760,3.5,3,i don't like it,The material is too weak and its loosen at the side,Precious,06-05-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,durable,So portable and cute,Mercy,05-05-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,3,could be better,Yeah I expected a better material,David,27-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,Not worth it,Low quality,Opeyemi Akinpelu,23-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,Good one,I love it but the size is small,odinaka,21-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,Good buy,"The insulated thermal is a good buy, it keeps your food warm no matter what. For the price, it is a good buy",Salom,14-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,Not bad,Good for the price,AMEZE ENEFE,07-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,ok but,"its ok, but not what I expected",Peace,07-04-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,3,Very Light,Its very light but does its job,Nafisat,24-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,Its nice,Great product is worth it,Enoch,16-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,"I like it, but",It's a really small size... Please indicate the size because I intend buying it for myself but ended up giving it to a kid.,JOEL,10-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,Disappointed,The item isn’t really as it looks here. I clearly asked before ordering and I was assure it can vary a food-warmer and a bottle water.,Mukthar Mohammed,09-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,2,not like it,Very small,Desuccess,06-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,So fine,Thermal works fine. I don't regret buying this,Promise,05-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,not impressed at all,"Too small, make it bigger",Nanahawa,05-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,Thermal Lunch Bag,It's nice but try make the size bigger,Emmanuella,04-03-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,Not satisfied with the product,Get a lasting material for the purpose,Esther,27-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,2,insulted bag lunch box,The bag is okay just that is it too small a bigger can't fit in,Stephen,23-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,good,Just had seen,Fache,20-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,its extremly too small for a lunch bag,Too Small.... could not serve.the need.,Amaka,18-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,Bag,Thought it would be bigger and of good quality but no.,Francis,18-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,3,Dissatisfied,The size should be made a little bigger than what was delivered,Moyosoreoluwa Ajayi,10-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,great product,"Good for the price, but very very small, compared to the picture on the website",Olayemi,04-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,4,good,Nice but too small,Victoria,04-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,1,"Quality,Zipper",Improve on the quality.,Yetunde Ibrahim,02-02-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,2,I don't like it,It too small to was displayed in your app shop,NURUDEEN,30-01-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
Portable Insulated Thermal Lunch Bag,2999,760,3.5,5,Useful.,"Been using for a while now. Not very strong so try not to overload. For light loads, you are good to go.",Feyifoluwa,28-01-2026,https://www.jumia.com.ng/generic-portable-insulated-thermal-lunch-bag-348604353.html
