
product_name,price,total_ratings,avg_rating,rating,review_title,review_text,reviewer,review_date,product_link
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,2,my face is glowing,"I love it, perfectly on my skin",Oluwakemi,21-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,nice,it's a bit small but it's okay,Divine,19-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,I like it,Clears the hyper pigmentation in a few days. Lovely product,Veronica,18-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,1,Dissapointed,Don't brighten,D GLOD,18-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,love it,Everything about it is good,Funmilayo,14-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,Nice,Good,Ganiyat Olawunmi,12-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,very effective,Just nice,John,07-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,best,Gives the best smoothness,Ishola,04-05-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,4,nice product,Love it,Lucky,30-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,good product,This is so good,Taiwo,16-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,love it,it is so good,Roseline Ehi,10-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,2,Nice,"It's nice, we need it in big bottle so that it will be lasting longer, put it a whitening substance so that it will be more comfortable using because it is making my face dark",Ifeoma,10-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Good,It does it work,Abiola,08-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,works well,It's nice but could do better,Nathaniel,07-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,good,Good,Philo,01-04-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Great,It's works well,Helen,31-03-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,1,not working,Not noticeable change,Nwanosike,30-03-2026,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html
